1.26583,-0.50306,6.29
1.33375,-5.70750,4.61
1.42500,13.39611,5.51
1.56667,58.43667,5.96
1.57917,-49.07500,5.70
1.61042,64.19611,5.59
1.65333,29.02139,6.13
1.70875,-23.10750,6.18
1.82583,-17.38639,6.19
1.93375,-2.54889,6.43
1.94500,-22.50889,5.94
2.01458,-33.52944,5.68
2.05042,-2.44778,6.07
2.09708,29.09056,2.06
2.07250,-8.82389,5.99
2.17083,36.62667,6.19
2.13917,-17.57750,6.06
2.21750,25.46278,6.23
2.33417,79.71472,6.01
2.29458,59.14972,2.27
2.26000,18.21194,5.53
2.26000,-54.00194,6.33
2.33750,-27.98778,5.42
2.35292,-45.74750,3.88
2.50958,11.14556,5.51
2.58042,46.07222,5.03
2.57833,-5.24861,5.84
2.50875,-82.22389,5.28
2.67833,-12.58000,5.85
2.81625,-15.46806,4.89
2.89333,-27.79972,5.41
2.93333,-35.13306,5.25
2.99625,48.15250,6.16
3.04167,-17.93833,5.25
3.30917,15.18361,2.83
3.35000,26.98722,6.30
3.37833,41.03528,5.72
3.42542,-26.02194,5.94
3.43417,-26.28472,6.31
3.50958,33.20611,6.25
3.65083,20.20667,4.80
3.61500,-7.78056,5.12
3.33083,-84.99417,5.77
3.66000,-18.93278,4.44
3.73375,22.28417,6.24
3.74500,8.82083,5.79
3.72708,-9.56972,5.75
3.77917,31.53583,6.45
3.79417,27.28306,6.35
3.74250,-34.90444,6.17
4.05833,76.95083,6.35
4.09000,43.59472,6.15
4.03708,-31.44639,5.67
3.98000,-75.91139,6.49
4.14208,8.24000,6.11
4.23792,61.53333,5.74
4.17708,-20.21056,6.47
4.28792,47.94750,5.89
4.27292,38.68167,4.61
4.42917,51.43306,6.14
4.38583,-19.05111,6.45
4.44875,1.68889,6.17
4.58208,36.78528,4.52
4.57167,11.20583,6.05
4.67542,43.79111,6.11
4.65958,31.51722,5.87
4.67417,-8.05278,6.46
4.67750,-43.23528,6.33
4.85708,-8.82389,3.56
4.92333,40.72972,6.33
5.01792,-64.87472,4.23
5.10167,30.93583,5.90
5.18958,32.91139,5.79
5.14958,8.19028,5.37
5.28042,37.96861,5.18
5.16250,-69.62500,5.51
5.38000,-28.98167,5.18
5.44292,-20.05778,5.12
5.60625,13.48250,6.23
5.36917,-77.42694,5.97
5.71583,-12.20944,6.39
6.06500,52.02000,5.57
6.19792,61.83111,5.40
6.12375,-2.21917,6.07
6.27667,53.04694,5.74
6.35083,1.93972,5.77
6.43792,-77.25417,2.80
6.57083,-42.30611,2.39
6.55083,-43.68000,3.94
6.65583,-0.04972,6.19
6.81125,-25.54722,5.98
7.01208,17.89306,5.06
7.05708,44.39444,5.17
6.98208,-33.00722,4.81
7.05292,16.44500,6.06
7.08375,10.18972,6.04
7.08792,-20.33500,6.43
7.11000,-39.91500,5.43
7.23583,36.90000,6.26
7.17958,-50.53278,6.26
7.72917,77.01944,6.21
7.58292,59.97722,5.94
7.53042,29.75167,5.23
7.46625,-14.86417,6.14
7.51000,-3.95722,5.72
7.59458,-23.78778,5.19
7.61583,-40.93944,6.19
7.60875,-48.21500,5.69
7.85542,66.51944,6.18
7.85667,33.58167,5.87
7.94333,54.52222,4.73
7.92167,52.83944,5.60
7.85417,-48.80361,4.77
7.88625,-62.95806,4.37
7.89000,-62.96583,4.54
8.33042,70.98167,6.42
8.25000,62.93167,4.16
8.14792,20.29444,5.38
8.09917,6.95556,5.67
8.20458,28.28028,6.30
8.29333,54.89500,5.93
8.18250,-63.03111,5.09
8.60375,66.75028,6.48
8.42125,-29.55833,5.55
8.34708,-71.26611,6.13
